names              |Cohen              |F1_score           |Accuracy           |Precision          |Recall
-------------------------------------------------------------------------------------------------------------
Emphysema          |-0.0223            |0.0000             |0.9477             |0.0000             |0.0000
Infiltration       |-0.0210            |0.2161             |0.5945             |0.1638             |0.3176
Pleural_Thickening |-0.0374            |0.0000             |0.9275             |0.0000             |0.0000
Pneumothorax       |0.0477             |0.1020             |0.8954             |0.0893             |0.1190
Cardiomegaly       |0.0226             |0.0465             |0.9512             |0.0385             |0.0588
No Finding         |-0.0168            |0.4851             |0.4851             |0.5469             |0.4359
Atelectasis        |0.0547             |0.1546             |0.8050             |0.1200             |0.2174
Edema              |0.0462             |0.0702             |0.9370             |0.0465             |0.1429
Effusion           |0.0734             |0.1967             |0.7669             |0.1529             |0.2759
Consolidation      |0.0465             |0.0941             |0.9084             |0.0851             |0.1053
Mass               |-0.0264            |0.0325             |0.8585             |0.0222             |0.0606
Nodule             |0.0124             |0.0876             |0.8514             |0.0698             |0.1176
Fibrosis           |-0.0193            |0.0000             |0.9620             |0.0000             |0.0000
Pneumonia          |-0.0096            |0.0000             |0.9810             |0.0000             |0.0000
Hernia             |0.0000             |0.0000             |0.9976             |0.0000             |0.0000
